%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -5951.017850758773, -7390.671359380646, -41739.871113284964, -18600.58529383961, -6078.042814498283, -16685.39842193108, -6854.877693042481, -28987.128017798426, -14486.590264629158, -17108.67340668123, -32993.164121289745, -40831.809143043654, 1642.6520517649712, -29283.60155625362, -6916.479100761307, -30041.973893877734, 0.134, 0.978, 0.052000000000000005, 192.0, 2.0, 24.0, 15.0, 72.0, 0.5, 80.0, 0.0, 0.0, 0.0, 1.7417668498594587E9, 0.0, 2025-03-12 17:07:29.859
2.0, -11922.711065138707, -14792.585646222311, -83217.08687747561, -37261.542649453004, -12184.40528922144, -33417.75785896276, -13652.601975512742, -58003.31330338876, -36236.17872431025, -40227.21680727206, -71295.49339955967, -86971.39763491126, -11428.379884765136, -68181.38130681292, -16018.958809251644, -57351.75995251656, 0.134, 0.978, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498595293E9, 0.0, 2025-03-12 17:07:29.859
4.0, -11881.762669296584, -14779.286358271404, -83699.34811584331, -37173.677941999194, -12258.769543024247, -33328.48499160826, -13992.639063911327, -57922.489395438366, -36617.49948471779, -40131.14900960315, -71208.32159618397, -86879.1072820553, -11523.106577766726, -68109.20752396673, -16143.52508110107, -57274.065288789905, 0.134, 0.978, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498595672E9, 0.0, 2025-03-12 17:07:29.859
6.0, -11912.250448733623, -14783.197913551083, -83257.09650005061, -37270.59510595741, -12171.642443137462, -33416.41675429544, -13913.066853650434, -58010.33175114772, -36272.85793696141, -40208.10606576277, -71287.44677155575, -86956.8242975264, -11424.781253907831, -68169.13255085141, -16115.540697043027, -57330.36933307283, 0.131, 0.98, 0.05, 192.0, 2.0, 0.0, 15.0, 88.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.74176684985959E9, 0.0, 2025-03-12 17:07:29.859
8.0, -11878.231093672644, -14778.414640237646, -83757.48500317158, -37190.59821255186, -12286.731575337837, -33329.6696340644, -14307.351625842051, -57928.3232007412, -36569.733806816796, -40140.89437018566, -71227.85702083791, -86901.34726778833, -11536.830548862285, -68137.2813150026, -16193.257712514129, -57291.85727737633, 0.131, 0.98, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849859613E9, 0.0, 2025-03-12 17:07:29.859
10.0, -11904.248524218623, -14772.983166335007, -83311.32183209919, -37271.533879224524, -12159.438390664864, -33406.58198673511, -14240.00581979821, -58022.46874838696, -36328.49142891067, -40173.72908279051, -71274.03572488257, -86945.40255610974, -11407.413948466057, -68157.30847803455, -16194.621168925903, -57312.39853053076, 0.131, 0.98, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849859635E9, 0.0, 2025-03-12 17:07:29.859
12.0, -11897.87827704886, -14806.756652206977, -83811.24094858658, -37226.29394844698, -12305.015302302278, -33350.07677675209, -14607.490850387914, -57950.51848298532, -36523.868027194505, -40119.235529808466, -71249.87348912639, -86917.95461391863, -11531.779054615386, -68153.50868147715, -16226.87473617491, -57296.34997801185, 0.131, 0.98, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498596573E9, 0.0, 2025-03-12 17:07:29.859
14.0, -11908.40594868731, -14787.623558953233, -83364.94366704747, -37290.28699282253, -12158.901948797937, -33426.47503930033, -14492.692290865458, -58033.845786314705, -36392.931508175316, -40139.35209981824, -71290.93364369079, -86956.64548357076, -11427.843442898207, -68171.50183576367, -16246.45486431776, -57316.39949278826, 0.131, 0.98, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498596783E9, 0.0, 2025-03-12 17:07:29.859
16.0, -11882.2544076746, -14798.911189903163, -83833.30212036397, -37224.52816063502, -12298.153316754499, -33356.51407915522, -14790.6410444547, -57942.829482892696, -36468.21218350079, -40097.39787547563, -71259.48473924217, -86924.6154337663, -11528.180423758082, -68157.26377454564, -16222.717311706223, -57300.73091992509, 0.1315, 0.979, 0.049, 192.0, 2.0, 16.0, 15.0, 72.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.7417668498597E9, 0.0, 2025-03-12 17:07:29.859
18.0, -11911.401082444321, -14791.512762488457, -83411.77057168134, -37298.84771094891, -12129.084721694557, -33440.42252784044, -14624.522879662858, -58056.39869647011, -36443.44645064431, -40104.01399183441, -71277.88022492889, -86944.55318982044, -11432.805530167287, -68162.1364548369, -16263.822169759533, -57302.49670773706, 0.1315, 0.979, 0.049, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498597236E9, 0.0, 2025-03-12 17:07:29.859
